District_Name,Season,Yield_Production,Crop,Yield_Remarks
NORTH AND MIDDLE ANDAMAN,Rabi,90.8,Tur,1
SOUTH ANDAMANS,Rabi,13.2,Tur,1
ANANTAPUR,Kharif,2600,Tur,1
ANANTAPUR,Kharif,9100,Tur,1
ANANTAPUR,Kharif,7888,Tur,1
ANANTAPUR,Rabi,9,Tur,0
ANANTAPUR,Kharif,7628,Tur,1
ANANTAPUR,Rabi,1,Tur,0
ANANTAPUR,Kharif,6557,Tur,1
ANANTAPUR,Kharif,6959,Tur,1
ANANTAPUR,Kharif,7893,Tur,1
ANANTAPUR,Kharif,23704,Tur,1
ANANTAPUR,Kharif,3543,Tur,1
ANANTAPUR,Kharif,17000,Tur,1
ANANTAPUR,Kharif,13150,Tur,1
ANANTAPUR,Kharif,5919,Tur,1
ANANTAPUR,Rabi,92,Tur,0
ANANTAPUR,Kharif,11156,Tur,1
ANANTAPUR,Kharif,4293,Tur,1
ANANTAPUR,Rabi,1,Tur,0
ANANTAPUR,Kharif,8035,Tur,1
ANANTAPUR,Kharif,9287,Tur,1
ANANTAPUR,Kharif,4845,Tur,1
CHITTOOR,Kharif,900,Tur,0
CHITTOOR,Kharif,1000,Tur,1
CHITTOOR,Kharif,2172,Tur,1
CHITTOOR,Kharif,924,Tur,0
CHITTOOR,Kharif,440,Tur,0
CHITTOOR,Rabi,2,Tur,1
CHITTOOR,Kharif,636,Tur,0
CHITTOOR,Rabi,1,Tur,1
CHITTOOR,Kharif,1390,Tur,1
CHITTOOR,Kharif,1869,Tur,1
CHITTOOR,Kharif,1533,Tur,1
CHITTOOR,Rabi,1,Tur,1
CHITTOOR,Kharif,1000,Tur,0
CHITTOOR,Kharif,2554,Tur,1
CHITTOOR,Kharif,1377,Tur,0
CHITTOOR,Rabi,56,Tur,1
CHITTOOR,Kharif,1182,Tur,1
CHITTOOR,Rabi,1,Tur,1
CHITTOOR,Kharif,1203,Tur,1
CHITTOOR,Rabi,2,Tur,1
CHITTOOR,Kharif,1268,Tur,0
CHITTOOR,Rabi,2,Tur,1
CHITTOOR,Kharif,1923,Tur,1
CHITTOOR,Rabi,3,Tur,1
CHITTOOR,Kharif,1669,Tur,1
EAST GODAVARI,Kharif,300,Tur,1
EAST GODAVARI,Kharif,300,Tur,0
EAST GODAVARI,Kharif,953,Tur,1
EAST GODAVARI,Kharif,763,Tur,0
EAST GODAVARI,Kharif,267,Tur,0
EAST GODAVARI,Kharif,539,Tur,0
EAST GODAVARI,Kharif,571,Tur,0
EAST GODAVARI,Kharif,611,Tur,0
EAST GODAVARI,Kharif,441,Tur,0
EAST GODAVARI,Kharif,1000,Tur,0
EAST GODAVARI,Kharif,344,Tur,0
EAST GODAVARI,Kharif,468,Tur,0
EAST GODAVARI,Rabi,507,Tur,1
EAST GODAVARI,Kharif,349,Tur,0
EAST GODAVARI,Rabi,26,Tur,1
EAST GODAVARI,Kharif,156,Tur,1
EAST GODAVARI,Rabi,14,Tur,1
EAST GODAVARI,Kharif,253,Tur,1
EAST GODAVARI,Kharif,447,Tur,1
EAST GODAVARI,Rabi,49,Tur,1
EAST GODAVARI,Kharif,1807,Tur,0
EAST GODAVARI,Rabi,47,Tur,0
GUNTUR,Kharif,14900,Tur,0
GUNTUR,Rabi,1000,Tur,1
GUNTUR,Kharif,20700,Tur,1
GUNTUR,Rabi,200,Tur,0
GUNTUR,Kharif,16786,Tur,1
GUNTUR,Rabi,442,Tur,1
GUNTUR,Kharif,29873,Tur,0
GUNTUR,Rabi,587,Tur,0
GUNTUR,Kharif,19290,Tur,1
GUNTUR,Rabi,677,Tur,1
GUNTUR,Kharif,17758,Tur,0
GUNTUR,Rabi,398,Tur,0
GUNTUR,Kharif,30295,Tur,0
GUNTUR,Rabi,537,Tur,0
GUNTUR,Kharif,31461,Tur,0
GUNTUR,Kharif,20188,Tur,1
GUNTUR,Rabi,244,Tur,1
GUNTUR,Kharif,19000,Tur,0
GUNTUR,Kharif,21832,Tur,0
GUNTUR,Rabi,152,Tur,1
GUNTUR,Kharif,28680,Tur,0
GUNTUR,Rabi,2350,Tur,1
GUNTUR,Kharif,27239,Tur,0
GUNTUR,Rabi,1001,Tur,1
GUNTUR,Kharif,16745,Tur,0
GUNTUR,Rabi,403,Tur,0
GUNTUR,Kharif,18787,Tur,0
GUNTUR,Rabi,1541,Tur,1
GUNTUR,Kharif,17096,Tur,0
GUNTUR,Rabi,368,Tur,1
GUNTUR,Kharif,13805,Tur,1
GUNTUR,Rabi,301,Tur,1
KADAPA,Kharif,1400,Tur,1
KADAPA,Kharif,4400,Tur,1
KADAPA,Kharif,8369,Tur,0
KADAPA,Rabi,93,Tur,1
KADAPA,Kharif,7139,Tur,0
KADAPA,Rabi,40,Tur,1
KADAPA,Kharif,2605,Tur,1
KADAPA,Rabi,6,Tur,1
KADAPA,Kharif,8997,Tur,1
KADAPA,Rabi,23,Tur,1
KADAPA,Kharif,4809,Tur,1
KADAPA,Rabi,11,Tur,1
KADAPA,Kharif,4377,Tur,1
KADAPA,Kharif,1527,Tur,0
KADAPA,Rabi,1,Tur,1
KADAPA,Kharif,4000,Tur,1
KADAPA,Kharif,839,Tur,0
KADAPA,Kharif,2088,Tur,1
KADAPA,Rabi,29,Tur,1
KADAPA,Kharif,5691,Tur,1
KADAPA,Rabi,7,Tur,0
KADAPA,Kharif,2250,Tur,1
KADAPA,Rabi,20,Tur,1
KADAPA,Kharif,1101,Tur,0
KADAPA,Rabi,1,Tur,0
KADAPA,Kharif,2442,Tur,1
KADAPA,Rabi,9,Tur,0
KADAPA,Kharif,360,Tur,1
KADAPA,Rabi,4,Tur,1
KRISHNA,Kharif,3400,Tur,1
KRISHNA,Kharif,5000,Tur,1
KRISHNA,Rabi,100,Tur,1
KRISHNA,Kharif,6316,Tur,0
KRISHNA,Rabi,42,Tur,1
KRISHNA,Kharif,4922,Tur,0
KRISHNA,Rabi,51,Tur,1
KRISHNA,Kharif,3438,Tur,1
KRISHNA,Rabi,58,Tur,1
KRISHNA,Kharif,6357,Tur,1
KRISHNA,Kharif,4789,Tur,1
KRISHNA,Rabi,7,Tur,0
KRISHNA,Kharif,3143,Tur,1
KRISHNA,Kharif,3750,Tur,1
